호선,역명,시간(분),거리(km),누계(km),이전역,상하행
7,사가정,1:10,0.9,14.3,면목,하행
7,용마산,1:10,0.8,15.1,사가정,하행
7,중곡,1:20,0.9,16,용마산,하행
7,군자(능동),1:20,1.1,17.1,중곡,하행
7,어린이대공원(세종대),1:20,1.1,18.2,군자(능동),하행
7,건대입구,1:20,0.8,19,어린이대공원(세종대),하행
7,뚝섬유원지,1:30,1,20,건대입구,하행
7,청담,2:30,2,22,뚝섬유원지,하행
7,강남구청,1:30,1.1,23.1,청담,하행
7,학동,1:10,0.9,24,강남구청,하행
7,논현,1:20,1,25,학동,하행
7,반포,1:10,0.9,25.9,논현,하행
7,고속터미널,1:30,0.9,26.8,반포,하행
7,내방,2:30,2.2,29,고속터미널,하행
7,총신대입구(이수),1:30,1,30,내방,하행
7,남성,1:20,1,31,총신대입구(이수),하행
7,숭실대입구(살피재),2:30,2,33,남성,하행
7,상도(중앙대앞),1:10,0.9,33.9,숭실대입구(살피재),하행
7,장승배기,2:30,0.9,34.8,상도(중앙대앞),하행
7,신대방삼거리,1:50,1.2,36,장승배기,하행
7,보라매,1:10,0.8,36.8,신대방삼거리,하행
7,신풍,2:20,0.9,37.7,보라매,하행
7,대림,2:00,1.4,39.1,신풍,하행
7,남구로,1:30,1.1,40.2,대림,하행
7,가산디지털단지,1:20,0.8,41,남구로,하행
7,철산,2:00,1.4,42.4,가산디지털단지,하행
7,광명사거리,1:50,1.3,43.7,철산,하행
7,천왕,2:00,1.7,45.4,광명사거리,하행
7,온수,2:20,1.5,46.9,천왕,하행
8,암사,0:00,0,0,종점,하행
8,천호(풍납토성),1:30,1.3,1.3,암사,하행
8,강동구청,1:20,0.9,2.2,천호(풍납토성),하행
8,몽촌토성(평화의문),2:00,1.6,3.8,강동구청,하행
8,잠실,1:10,0.8,4.6,몽촌토성(평화의문),하행
8,석촌,1:50,1.2,5.8,잠실,하행
8,송파,1:10,0.9,6.7,석촌,하행
8,가락시장,1:10,0.8,7.5,송파,하행
8,문정,1:10,0.9,8.4,가락시장,하행
8,장지,1:10,0.9,9.3,문정,하행
8,복정,1:10,0.9,10.2,장지,하행
8,남위례,1:50,1.5,11.7,복정,하행
8,산성,1:40,1.2,12.9,남위례,하행
8,"남한산성입구(성남법원,검찰청)",2:10,1.3,14.2,산성,하행
8,단대오거리,1:10,0.8,15,"남한산성입구(성남법원,검찰청)",하행
8,신흥,1:10,0.8,15.8,단대오거리,하행
8,수진,1:10,0.9,16.7,신흥,하행
8,모란,1:30,1,17.7,수진,하행
